Name,EvolutionStage,WebCardID,ImageURL,CardType,HP,Attribute,Ability,AbilityDesc,Skill1Name,Skill1Cost,Skill1Damage,Skill1Effect,Skill2Name,Skill2Cost,Skill2Damage,Skill2Effect,Weakness,WeaknessType,Resistance,ResistanceType,RetreatCost,CollectorNumber,Rarity,Mark,Expansion,ExpansionCode,Illustrator,PokemonInfo,Evolution,Subtypes,Tier,Score,ScoreBreakdown,PrimaryEffectType,SpecialEffectType
能量再利用,,00004645,https://asia.pokemon-card.com/hk/card-img/hk00004645.png,物品卡,,,,,,,,從自己的棄牌區抽出5張基本能量卡，在給對手看過後，放回牌庫並重洗。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,128,normal,I,擴充包「眾星雲集組合篇」SET A,AC1a,Toyste Beach,,,,B+,15.00,Base:7.0|Meta:1.0|Exp:-1.0|Func:8.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"搜索效果, 能量回收",大量抽卡
改造之錘,,00004646,https://asia.pokemon-card.com/hk/card-img/hk00004646.png,物品卡,,,,,,,,將對手的場上寶可夢身上所附加的1個特殊能量丟到棄牌區。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,129,normal,H,擴充包「眾星雲集組合篇」SET A,AC1a,Yoshinobu Saito,,,,A,19.00,Base:7.0|Meta:3.0|Exp:-1.0|Func:8.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,能量操作,無
反擊捕捉器,,00004647,https://asia.pokemon-card.com/hk/card-img/hk00004647.png,物品卡,,,,,,,,這張卡只有在自己剩餘獎賞卡的張數比對手剩餘獎賞卡的張數多時才可使用。選擇對手的1隻備戰寶可夢，與戰鬥寶可夢互換。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,130,normal,G,擴充包「眾星雲集組合篇」SET A,AC1a,Toyste Beach,,,,B+,16.00,Base:7.0|Meta:3.0|Exp:-1.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"切換效果, 獎賞控制",無
高級球,,00004649,https://asia.pokemon-card.com/hk/card-img/hk00004649.png,物品卡,,,,,,,,這張卡只有在將自己的2張手牌丟到棄牌區才可使用。從自己的牌庫抽出1張寶可夢，在給對手看過後加入手牌。並且重洗牌庫。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,132,normal,G,擴充包「眾星雲集組合篇」SET A,AC1a,Ryo Ueda,,,,S+,26.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:10.0|Syn:5.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
能量轉移,,00004805,https://asia.pokemon-card.com/hk/card-img/hk00004805.png,物品卡,,,,,,,,將自己的場上寶可夢身上所附加的1個基本能量，改附於自己的另1隻寶可夢身上。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,131,normal,G,擴充包「眾星雲集組合篇」SET B,AC1b,Ryo Ueda,,,,B+,16.00,Base:7.0|Meta:3.0|Exp:-1.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,能量操作,無
粉碎之錘,,00004806,https://asia.pokemon-card.com/hk/card-img/hk00004806.png,物品卡,,,,,,,,擲1次硬幣若為正面，則將對手的場上寶可夢身上所附加的1個能量丟到棄牌區。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,132,normal,G,擴充包「眾星雲集組合篇」SET B,AC1b,Yoshinobu Saito,,,,A+,21.00,Base:7.0|Meta:3.0|Exp:-1.0|Func:8.0|Syn:4.0|Eff:0.0|Dmg:0.0|Mod:1.00,"硬幣判定, 能量操作",無
巢穴球,,00004809,https://asia.pokemon-card.com/hk/card-img/hk00004809.png,物品卡,,,,,,,,從自己的牌庫抽出1張【基礎】寶可夢，放置於備戰區。並且重洗牌庫。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,135,normal,G,擴充包「眾星雲集組合篇」SET B,AC1b,Toyste Beach,,,,A,19.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:5.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",放置效果
神奇糖果,,00004812,https://asia.pokemon-card.com/hk/card-img/hk00004812.png,物品卡,,,,,,,,從自己的手牌抽出1張【2階進化】寶可夢，放置於自己的場上1隻可進化成該寶可夢的【基礎】寶可夢身上並完成進化。（無法對最初自己的回合與這個回合剛使出的【基礎】寶可夢使用。）,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,138,normal,G,擴充包「眾星雲集組合篇」SET B,AC1b,Ryo Ueda,,,,S+,26.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:10.0|Syn:5.0|Eff:0.0|Dmg:0.0|Mod:1.00,進化支援,放置效果
學習裝置,,00004814,https://asia.pokemon-card.com/hk/card-img/hk00004814.png,寶可夢道具,,,,,[寶可夢道具規則],,,寶可夢道具卡，附於自己的寶可夢使用。1隻寶可夢只可附上1張寶可夢道具卡，並且保持附加狀態。,,,,當自己的戰鬥寶可夢受到對手的招式的傷害而【氣絕】時，可將該寶可夢身上所附加的1張基本能量卡，改附於附有這張卡的寶可夢身上。,,,,,,140,normal,G,擴充包「眾星雲集組合篇」SET B,AC1b,Toyste Beach,,,,B+,15.00,Base:6.0|Meta:3.0|Exp:-1.0|Func:7.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"其他效果, 能量操作",無
能量回收,,00004962,https://asia.pokemon-card.com/hk/card-img/hk00004962.png,物品卡,,,,,,,,從自己的棄牌區抽出2張基本能量卡，在給對手看過後加入手牌。,[物品卡規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,131,normal,G,G超起始牌組「眾星雲集組合篇」,AC1D,Toyste Beach,,,,A+,22.00,Base:7.0|Meta:5.0|Exp:-1.0|Func:8.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,"搜索效果, 能量回收",無
能量轉移,,00004963,https://asia.pokemon-card.com/hk/card-img/hk00004963.png,物品卡,,,,,,,,將自己的場上寶可夢身上所附加的1個基本能量，改附於自己的另1隻寶可夢身上。,[物品規則],,,在自己的回合時，物品卡可不限張數使用。,,,,,,132,normal,G,G超起始牌組「眾星雲集組合篇」,AC1D,Ryo Ueda,,,,B+,16.00,Base:7.0|Meta:3.0|Exp:-1.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,能量操作,無
