Name,EvolutionStage,WebCardID,ImageURL,CardType,HP,Attribute,Ability,AbilityDesc,Skill1Name,Skill1Cost,Skill1Damage,Skill1Effect,Skill2Name,Skill2Cost,Skill2Damage,Skill2Effect,Weakness,WeaknessType,Resistance,ResistanceType,RetreatCost,CollectorNumber,Rarity,Mark,Expansion,ExpansionCode,Illustrator,PokemonInfo,Evolution,Subtypes,Tier,Score,ScoreBreakdown,PrimaryEffectType,SpecialEffectType
N的ＰＰ提升劑,,13083,https://asia.pokemon-card.com/hk/card-img/hk00013083.png,物品卡,,,,,,,,從自己的棄牌區選擇1張基本能量卡，附於備戰區的「N的寶可夢」身上。,,,,,,,,,,89,normal,I,擴充包「對戰搭檔」,SV9,Toyste Beach,,,,B,13.00,Base:7.0|Meta:0.0|Exp:3.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,搜索效果,無
N的城堡,,13091,https://asia.pokemon-card.com/hk/card-img/hk00013091.png,競技場卡,,,,,,,,雙方場上所有「N的寶可夢」【撤退】所需的能量全部消除。,,,,,,,,,,97,normal,I,擴充包「對戰搭檔」,SV9,AYUMI ODASHIMA,,,,B,13.00,Base:6.0|Meta:0.0|Exp:3.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,撤退干擾,撤退效果
N的謀劃,,14104,https://asia.pokemon-card.com/hk/card-img/hk00014104.png,支援者卡,,,,,,,,選擇最多2個自己的備戰寶可夢身上附加的能量，改附於戰鬥寶可夢身上。,,,,,,,,,,83,normal,I,擴充包「漆黑伏特」,SV11B,hncl,,,,A,17.00,Base:8.0|Meta:0.0|Exp:3.0|Func:6.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,能量操作,無
八朔,,11382,https://asia.pokemon-card.com/hk/card-img/hk00011382.png,支援者卡,,,,,,,,這張卡必須在上個對手的回合自己的寶可夢【昏厥】了才可使用。<br/> <br/>查看自己的牌庫上方8張卡，從其中選擇最多3張卡加入手牌。將剩餘卡放回牌庫並重洗。,,,,,,,,,,98,normal,H,擴充包「變幻假面」,SV6,GOSSAN,,,,B+,16.00,Base:8.0|Meta:0.0|Exp:3.0|Func:5.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果, 連續技",無
力量蛋白飲,,14261,https://asia.pokemon-card.com/hk/card-img/hk00014261.png,物品卡,,,,,,,,在這個回合，自己的【鬥】寶可夢使用的招式，對對手的戰鬥寶可夢造成的傷害「+30」點。,,,,,,,,,,58,normal,I,擴充包「超級勇氣」,M1L,Toyste Beach,,,,C,8.00,Base:7.0|Meta:0.0|Exp:-1.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"HP提升, 傷害效果",無
也慈,,9614,https://asia.pokemon-card.com/hk/card-img/hk00009614.png,支援者卡,,,,,,,,在使用了這張卡的回合結束前，自己的所有寶可夢無法使用招式。（包含新上場的寶可夢。）<br/>從自己的牌庫選擇最多2張基本能量卡，附於自己的1隻寶可夢身上。並且重洗牌庫。,,,,在自己的回合時，支援者卡只可使用1張。,,,,,,103,normal,G,擴充包「黯焰支配者」,SV3,kirisAki,,,,B,13.00,Base:8.0|Meta:0.0|Exp:2.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"全體防禦, 招式鎖定, 搜索效果",無
千里,,10023,https://asia.pokemon-card.com/hk/card-img/hk00010023.png,支援者卡,,,,,,,,從自己的牌庫抽出2張卡。若對手的戰鬥寶可夢為「寶可夢【ex】」，則再抽出2張卡。,,,,,,,,,,65,normal,G,擴充包「古代咆哮」,SV4K,Hideki Ishikawa,,,,A,17.00,Base:8.0|Meta:0.0|Exp:2.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
大地之容器,,11018,https://asia.pokemon-card.com/hk/card-img/hk00011018.png,物品卡,,,,,,,,這張卡必須將自己的1張手牌丟棄才可使用。 <br/><br/> 從自己的牌庫選擇最多2張基本能量卡，在給對手看過後加入手牌。並且重洗牌庫。,,,,,,,,,,84,promo,G,特典卡 朱&紫,SV,AYUMI ODASHIMA,,,,B+,15.00,Base:7.0|Meta:0.0|Exp:2.0|Func:6.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",丟棄效果
學習裝置,,8364,https://asia.pokemon-card.com/hk/card-img/hk00008364.png,寶可夢道具,,,,,,,,每次當自己的戰鬥寶可夢受到對手的寶可夢招式的傷害而【昏厥】時，可選擇1張那隻寶可夢身上附加的基本能量卡，改附於附有這張卡的寶可夢身上。,[寶可夢道具規則],,,在自己的回合時，寶可夢道具卡可不限張數附於自己的寶可夢身上。1隻寶可夢只可附上1張寶可夢道具卡，並且保持附加狀態。,,,,,,72,normal,G,擴充包「朱ex」,SV1S,Toyste Beach,,,,A,18.00,Base:6.0|Meta:3.0|Exp:2.0|Func:7.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,"其他效果, 昏厥條件, 能量操作",無
大師球,,10954,https://asia.pokemon-card.com/hk/card-img/hk00010954.png,物品卡,,,,,,,,從自己的牌庫選擇1張寶可夢卡，在給對手看過後加入手牌。並且重洗牌庫。,,,,,,,,,,15,normal,H,起始組合「古代故勒頓ex」,SVHK,Studio Bora Inc.,,,,B+,16.00,Base:7.0|Meta:0.0|Exp:2.0|Func:4.0|Syn:3.0|Eff:0.0|Dmg:0.0|Mod:1.00,"抽卡效果, 搜索效果",無
